index,Spielzeit,Datum,Stück,Autor,Regie,Musik,Bühnenbild,Kostüme,Choreographie,Ortsvermerk,Aufführungsvermerk,SpeziellerAnlass,id,Tag,Nr_Spielzeit,DuplicateDate,Nr_Stück,Neujahr
402,1953_1954,01/16/1954,Die Erbin,"Götz, R. und A. (nach James, Henry)","Siedel, Erhard",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1953_195401/16/1954Die Erbin,1954-01-16,16,False,15,False
403,1953_1954,01/30/1954,Ein Engel kommt nach Babylon,"Dürrenmatt, Friedrich","Wälterlin, Oskar","Keiper, William","Otto, Teo",0,0,Grosse Bühne,Schweizerische Erstaufführung,0,1953_195401/30/1954Ein Engel kommt nach Babylon,1954-01-30,16,False,16,False
404,1953_1954,02/13/1954,Der Misanthrop,"Molière, Jean Baptiste","Horwitz, Kurt",Verschiedene Komponisten des 17. Jahrhundert,"Otto, Teo","Otto, Teo",0,Grosse Bühne,0,0,1953_195402/13/1954Der Misanthrop,1954-02-13,16,False,17,False
405,1953_1954,02/25/1954,Warten auf Godot,"Beckett, Samuel","Blin, Roger",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1953_195402/25/1954Warten auf Godot,1954-02-25,16,False,18,False
406,1953_1954,03/04/1954,Staatsaffäre,"Verneuil, Louis","Kutschera, Rolf",0,0,0,0,Theater am Central,0,0,1953_195403/04/1954Staatsaffäre,1954-03-04,16,False,19,False
407,1953_1954,03/18/1954,Othello. Der Mohr von Venedig,"Shakespeare, William","Wälterlin, Oskar","Mersson, Boris","Otto, Teo",0,0,Grosse Bühne,0,0,1953_195403/18/1954Othello. Der Mohr von Venedig,1954-03-18,16,False,20,False
408,1953_1954,04/01/1954,Neues aus der Sechsten Etage,"Gehri, Alfred","Kraut, Werner",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1953_195404/01/1954Neues aus der Sechsten Etage,1954-04-01,16,False,21,False
409,1953_1954,04/09/1954,Intimitäten,"Coward, Noël","Biberti, Leopold",0,0,0,0,Theater am Central,0,0,1953_195404/09/1954Intimitäten,1954-04-09,16,False,22,False
410,1953_1954,04/15/1954,Donadieu,"Hochwälder, Fritz","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1953_195404/15/1954Donadieu,1954-04-15,16,False,23,False
411,1953_1954,05/01/1954,König Oedipus,Sophokles,"Hirschfeld, Kurt",0,"Neher, Caspar",0,0,Grosse Bühne,0,0,1953_195405/01/1954König Oedipus,1954-05-01,16,False,24,False
412,1953_1954,05/06/1954,Wie rette ich meine Ehe,"Ferdinand, Roger J.","Holsboer, Willem",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1953_195405/06/1954Wie rette ich meine Ehe,1954-05-06,16,False,25,False
413,1953_1954,05/19/1954,Der Liebestrank,"Wedekind, Frank","Lindtberg, Leopold","Mersson, Boris","Neher, Caspar",0,0,Grosse Bühne,0,0,1953_195405/19/1954Der Liebestrank,1954-05-19,16,False,26,False
414,1953_1954,05/28/1954,`s Himmelbett,"Hartog, Jan de","Ammann, Lukas",0,"Zimmermann, Remo",0,0,Theater am Central,0,0,1953_195405/28/1954`s Himmelbett,1954-05-28,16,False,27,False
